Country,health_index,safety_index_risk_focused,EconomicStability_E,EPI_future,qol_index,opportunity_index,good_country_index
MONACO,90.84964154233676,96.48804516885716,0.9517078916372202,97.55551709858445,93.95076353692298,44.423422034763476,74.13982693605918
SINGAPORE,88.1447042668398,86.32522161082841,0.5765852999089018,60.30695420520805,87.14398880603353,27.45525130729352,63.26849380653753
SWITZERLAND,79.32254701192468,75.64579794508951,,40.82113821138211,77.30033502516534,40.82113821138211,62.70865629965205
LUXEMBOURG,76.70483780220219,95.20939850007248,0.5481357008913688,57.88737619743688,86.88234618603084,26.35079392433685,62.669725281353244
"KOREA, SOUTH",89.24279806576301,83.19180058506538,0.4130211560557356,28.938027023792312,85.91474945137932,13.249273796537196,56.84855918944247
FINLAND,80.2281157410358,91.66903087253796,0.3573388418759823,25.98527049904,86.52061906336199,11.889908087599789,56.66833467305711
ICELAND,76.99561178183775,91.09724888035828,0.3712310817394378,30.055794285283067,84.75151218602406,13.729284523334071,56.34262112094807
DENMARK,78.58298580053204,85.59801278865208,0.4184082242696318,34.21666253747035,82.44125064399807,15.627622665209955,55.71579945248283
NEW ZEALAND,79.37557498533108,66.71195721906244,,28.20126382142861,72.41058521388334,28.20126382142861,54.72685665690145
IRELAND,59.59688513708296,79.09258467657534,0.6737882288507947,64.74933686007934,70.31951988380376,29.50778511290364,53.99482597544372
LIECHTENSTEIN,74.58523546328428,80.0,0.4458886025141406,39.01633324070025,77.56335595847793,17.802588689697888,53.65904905096591
TAIWAN,81.14618934131128,78.32447857469742,0.4062456773850233,29.47493854293382,79.59424841967366,13.487157466881984,53.151412038556984
JAPAN,89.7750199157338,73.07753259708633,0.3534310452220067,24.017339430914127,80.5914018904777,11.002189818783462,52.7557170618
SLOVENIA,71.76093277033256,84.30455722492503,0.4208008491132312,28.353898247081165,78.65992622035841,12.990694678198802,52.39223360349457
NETHERLANDS,81.86300361069667,72.35538905826411,0.4279509618060868,34.51082383369968,76.63381560685876,15.765243754158204,52.28638686577854
ESTONIA,69.15677831696756,87.19060561158992,0.3826458981444653,25.380737200375897,79.07538332900987,11.631786984148611,52.09794479106536
NORWAY,82.24513648009378,70.70596605995493,0.4049540209112679,35.85096251166026,75.89859274901741,16.355657841748314,52.08141878610977
AUSTRIA,79.63903174728267,75.03507662204615,0.3795225631102364,30.08011825038691,77.1068564284026,13.744790622384741,51.76203010599546
CZECHIA,73.05543533807956,82.35364943724646,0.3355051324401151,24.757547379955884,78.16945309262135,11.325424143822213,51.431841513101695
PORTUGAL,76.68181962048153,79.36386363585322,0.3721562881551831,21.800217824463346,78.15694382893597,10.014783979493856,50.90007988915912
VIETNAM,30.329155701890222,67.71901555745936,0.3121345029239766,4.978208955223881,50.89357862245325,,50.89357862245325
AUSTRALIA,79.93588381600912,71.62048250298731,0.3537603931189587,27.309332190029483,75.36241309384712,12.483767701728695,50.210954936999755
SWEDEN,76.44138962711182,73.93174147464795,0.3413393518788761,26.563499952696706,75.0610831432567,12.1413116222469,49.893174534852776
MALTA,61.93052388119047,80.05612764673148,0.4942307752392339,34.55666664422575,71.89960595223803,15.822326916283167,49.468694337856085
ANDORRA,70.926950838249,80.48626026344809,0.3232395491693937,17.975783056148483,76.1845710221085,8.266884127309984,49.01749626418909
LITHUANIA,60.67456665317452,85.10527353170248,0.3486279829119798,23.05847732104543,74.1114554363649,10.568060185072033,48.69409733584775
BELGIUM,78.22230352715084,62.13332184954034,0.4331883679089309,31.83023783973635,69.37336360446507,14.56186063023127,47.44876241477155
CANADA,71.73003399948168,68.25665725443223,0.3973470442848585,27.766006377101206,69.81967678970449,12.713243744052214,46.97710357144358
POLAND,53.65764658803918,81.44065566848808,0.3462264699431382,23.427057916733723,68.93830158228607,10.732600620998902,45.6560211977712
SPAIN,84.01496186665445,55.55042897262676,0.4194212385083343,24.412149066546625,68.35946877493922,11.216148761125567,45.50214076941375
LATVIA,50.37957537880128,85.67414332736797,0.3053341373460073,18.303887470318827,69.79158775051296,8.404683137183776,45.236825905181284
CROATIA,52.6280302410056,78.973628868569,0.4225442118445978,23.256247355859102,67.11810948616548,10.697710626651126,44.54994994235974
HUNGARY,45.87141262935331,81.841494378511,0.2963025499404888,20.861920882523847,65.65495759139004,9.550830799603,43.213306874675226
FRANCE,82.96732210303506,46.97820170808221,0.4102713335917752,27.928789467893615,63.173305885811,12.793604494027603,43.02142532909764
ITALY,73.812518665612,55.36414552038832,0.3845045214292685,24.4330864704246,63.66591343573898,11.206366398477167,42.682094620834256
GREENLAND,24.68508348897854,99.9646535242043,0.1666666666666666,14.913171136617512,66.08884700835272,6.8025936781445475,42.37434567626944
ROMANIA,43.043046595728306,80.27514536367741,0.3162651548470303,19.261222420351867,63.52070091810032,8.841495924324207,41.64901892058987
GERMANY,73.29016643639734,49.90022309023005,0.3617452691047443,29.058635754101893,60.425697596005335,13.275345987353463,41.56555695254458
UNITED KINGDOM,72.26417159168895,50.05896768738081,0.3706422511274618,27.68807699960419,60.05130944431947,12.663487887941988,41.09618082176848
SLOVAKIA,51.19442239390632,70.39793645958154,0.2864597274224654,17.703959899534173,61.7563551300277,8.124334804872733,40.30354699996571
NORTH MACEDONIA,43.71207094637704,79.05433838255841,0.2166996175538534,6.33385512786523,63.1503180362768,2.9694195971939727,39.07795866064367
CHINA,62.17491561438234,63.92534356178372,0.3483750332847528,5.8695450055322045,63.13765098545311,2.832901520796106,39.015751199590305
BULGARIA,41.40756837479821,74.92916711368038,0.3267926348239782,16.632055995304313,59.844447681183404,7.664161147040129,38.972333067526094
BOSNIA AND HERZEGOVINA,47.59515927286403,72.41187956007977,0.3007180611765156,7.515656719744712,61.244355430832684,3.547440457532204,38.16558944151249
MONTENEGRO,42.99437148217636,73.18054015841648,0.2996381259477306,9.927608278397509,59.59676425410843,4.632224694550131,37.61094843028511
ALBANIA,38.902092349484384,77.60980168484869,0.3336256464270158,7.724824098404881,60.19133248393476,3.659664949817055,37.578665470287675
SERBIA,43.5747598393049,70.55555123658247,0.2641469963859867,10.509660449690154,58.41419510780757,4.874628050372862,36.99836828483368
BELARUS,37.67594653220999,72.97751127986203,0.3026465657321193,12.285275993379846,57.09180714341861,5.694829808173596,36.53301620932061
GREECE,63.8422172939713,46.0451961308568,0.3564815866409379,16.26432883676342,54.05385565425833,7.515012849196054,35.43831853223342
UNITED STATES,60.7096683878646,32.87011944190221,0.4713435381460452,39.58089136370319,45.39791646758529,18.07064005964676,34.46700590440987
MOLDOVA,18.4272040302267,75.20396350433185,0.3804820318861198,9.765228291570676,49.65442174098453,4.60361784874417,31.634100184088386
MEXICO,43.02483243258572,49.617690026086144,0.3449912539380657,13.137170131481426,46.65090410901095,6.101471748832578,30.4311311649396
UKRAINE,33.66873681305088,52.114296857620005,0.1411986169804072,0.0,43.813794837563904,0.07765923933922396,26.31934059827403
RUSSIA,38.599643439073326,35.98867664301172,0.3417489585561489,18.54442094278869,37.16361170123945,8.532951351460792,25.711347561327983
KOSOVO,21.11678060071498,59.79477639672073,0.201659856225382,0.0,42.38967828851814,0.1109129209239601,25.478172141480467
TURKEY (TURKIYE),37.34923186001395,23.038874385777245,0.2839817084916591,16.513696666815306,29.478535249183764,7.587353439737301,20.72206252540518
