Country,criminality_2025,peace_index,terrorism_index,crime_safe,peace_safe,terror_safe,safety_index_risk_focused,criminality_change_2023_2025,peace_change,terror_rank_change,criminality_components,criminal_markets,criminal_actors,resilience
"KOREA, NORTH",4.68,3.055,0.0,0.390625,0.9647635524798155,1.0,74.92027104959631,0.14,-2,5.0,4.68,5.47,3.9,1.63
ROMANIA,4.83,1.755,0.0,0.37109375,0.979757785467128,1.0,74.43890570934256,0.25,-1,3.0,4.83,5.37,4.3,5.88
PORTUGAL,4.97,1.372,0.0,0.35286458333333337,0.9841753171856978,1.0,73.7980896770473,0.09,-1,5.0,4.97,4.73,5.2,6.58
NORTH MACEDONIA,5.0,1.764,0.0,0.34895833333333326,0.9796539792387543,1.0,73.55141291810841,-0.03,-2,5.0,5.0,4.8,5.2,5.29
IRELAND,4.97,1.303,0.03,0.35286458333333337,0.9849711649365629,0.9928023032629558,73.52609876258282,-0.11,0,0.0,4.97,5.13,4.8,7.42
CROATIA,5.02,1.504,0.0,0.34635416666666674,0.9826528258362168,1.0,73.507223183391,-0.13,1,0.0,5.02,4.83,5.2,5.92
TAIWAN,5.1,1.818,0.0,0.3359375,0.9790311418685121,1.0,73.01812283737024,0.12,1,5.0,5.1,5.3,4.9,7.21
ALBANIA,5.2,1.809,0.0,0.32291666666666663,0.9791349480968858,1.0,72.49936562860438,0.03,-3,5.0,5.2,4.9,5.5,5.17
MOLDOVA,5.53,1.976,0.0,0.27994791666666663,0.9772087658592848,1.0,70.74209198385236,-0.07,-2,5.0,5.53,4.97,6.1,4.08
BULGARIA,5.58,1.629,0.0,0.2734375,0.9812110726643599,1.0,70.5617214532872,-0.07,5,5.0,5.58,5.47,5.7,5.33
SWITZERLAND,4.65,1.35,0.627,0.3945312499999999,0.9844290657439446,0.8495681381957774,69.45255684271,-0.22,3,4.0,4.65,4.8,4.5,7.25
MONTENEGRO,5.82,1.746,0.0,0.2421874999999999,0.9798615916955017,1.0,69.28473183391003,-0.08,5,5.0,5.82,5.13,6.5,4.83
BELARUS,5.83,2.291,0.0,0.24088541666666663,0.9735755478662053,1.0,69.10692762399077,-0.04,3,5.0,5.83,5.37,6.3,3.08
BOSNIA AND HERZEGOVINA,5.92,1.961,0.0,0.22916666666666663,0.9773817762399077,1.0,68.71430219146482,0.07,-5,5.0,5.92,5.43,6.4,3.88
AUSTRIA,4.3,1.313,0.953,0.44010416666666663,0.9848558246828143,0.7713531669865643,68.15540983978552,0.17,1,5.0,4.3,4.3,4.3,7.54
SWEDEN,4.73,1.782,0.735,0.38411458333333326,0.9794463667820069,0.8236564299424185,67.89976786667022,0.03,-5,4.0,4.73,4.67,4.8,7.38
SERBIA,6.18,1.93,0.0,0.1953125,0.9777393310265282,1.0,67.36728662053056,-0.04,8,5.0,6.18,5.67,6.7,4.92
NETHERLANDS,5.17,1.527,0.577,0.32682291666666663,0.9823875432525951,0.8615642994241843,67.18323950868594,0.2,1,4.0,5.17,5.33,5.0,7.42
MONACO,2.58,86.7,0.0,0.6640625,0.0,1.0,66.5625,0.0,0,5.0,2.58,1.67,3.5,5.83
JAPAN,4.25,1.525,1.189,0.44661458333333326,0.9824106113033448,0.7147312859884837,66.10204699893958,-0.03,-4,0.0,4.25,3.9,4.6,7.5
VIETNAM,6.58,1.802,0.0,0.14322916666666663,0.9792156862745098,1.0,65.31348039215686,0.03,-3,5.0,6.58,6.57,6.6,4.79
SLOVAKIA,4.75,1.634,1.092,0.38151041666666663,0.9811534025374856,0.738003838771593,64.4036382682801,0.03,-2,5.0,4.75,4.7,4.8,4.88
AUSTRALIA,4.07,1.536,1.475,0.47005208333333326,0.9822837370242214,0.6461132437619961,64.29228782429762,0.07,2,2.0,4.07,4.43,3.7,7.54
NORWAY,3.83,1.638,1.747,0.5013020833333333,0.9811072664359861,0.5808541266794626,62.90839372923156,0.08,-5,3.0,3.83,4.17,3.5,7.92
HONG KONG,6.32,0.0,0.582,0.17708333333333326,1.0,0.8603646833013436,61.497920665387085,-0.05,0,21.0,6.63,6.0,5.54,
CANADA,4.17,1.449,1.753,0.45703125,0.9832871972318339,0.5794145873320538,61.12357743791883,0.29,1,4.0,4.17,4.13,4.2,7.38
NEW ZEALAND,4.13,1.323,1.947,0.46223958333333337,0.9847404844290657,0.5328694817658349,59.49917229254805,0.05,-1,2.0,4.13,3.87,4.4,7.88
BELGIUM,4.82,1.51,1.904,0.37239583333333326,0.9825836216839677,0.5431861804222649,56.27495298390328,0.39,-2,11.0,4.82,5.53,4.1,7.17
MALTA,4.87,83.8,0.0,0.36588541666666663,0.03344867358708192,1.0,55.30439013840831,-0.13,0,0.0,4.87,4.13,5.6,5.08
ITALY,6.37,1.692,1.447,0.17057291666666663,0.980484429065744,0.652831094049904,52.54584900997771,0.15,0,4.0,6.37,5.83,6.9,6.38
SPAIN,6.05,1.597,1.669,0.21223958333333337,0.9815801614763553,0.5995681381957774,52.10391209069154,0.15,7,1.0,6.05,5.9,6.2,6.67
ANDORRA,2.7,84.5,1.583,0.6484375,0.025374855824682796,0.6202015355086372,51.253058536839156,-0.52,0,0.0,2.7,2.2,3.2,8.0
UKRAINE,6.45,3.28,1.686,0.16015625,0.962168396770473,0.595489443378119,49.469195670534226,-0.03,-3,20.0,6.45,6.4,6.5,4.54
LIECHTENSTEIN,2.1,84.1,,0.7265625,0.029988465974625234,,49.4371155324875,-0.17,0,,2.1,2.2,2.0,8.42
MEXICO,7.68,2.778,1.04,0.0,0.9679584775086505,0.7504798464491362,49.37836340813846,0.11,-1,1.0,7.68,8.27,7.1,4.5
UNITED KINGDOM,5.87,1.703,2.373,0.23567708333333326,0.9803575547866206,0.43066218809980805,46.260721953058066,0.12,-2,-1.0,5.87,5.63,6.1,7.63
GERMANY,5.35,1.542,2.782,0.30338541666666674,0.9822145328719724,0.3325335892514396,45.081050894163695,0.02,-4,-2.0,5.35,5.4,5.3,7.42
FRANCE,5.92,2.088,2.647,0.22916666666666663,0.975916955017301,0.3649232245681383,43.28193474973822,0.1,-14,4.0,5.92,6.13,5.7,7.04
GREECE,5.55,1.793,3.028,0.27734375,0.9793194925028835,0.2735124760076776,41.62063889036478,0.2,17,-8.0,5.55,4.9,6.2,5.13
RUSSIA,6.92,3.249,3.016,0.09895833333333326,0.9625259515570934,0.2763915547024952,34.26451455257501,0.05,2,8.0,6.92,6.93,6.9,3.42
UNITED STATES,5.87,2.622,4.141,0.23567708333333326,0.969757785467128,0.006477927063339717,29.081356125209478,0.2,-2,-1.0,5.87,6.13,5.6,6.96
TURKEY (TURKIYE),7.2,2.78,4.168,0.06249999999999989,0.9679354094579008,0.0,21.858708189158012,0.17,0,-8.0,7.2,6.9,7.5,3.96
