COUNTRY,INFL_n,UNEMP_good,INFL_good,StabilityBase,EconomicStability_E
ALBANIA,0.22614840989399293,0.655438596491228,0.773851590106007,0.4884935542625704,0.3336256464270158
ANDORRA,0.22261484098939924,0.5533333333333333,0.7773851590106008,0.5299220371305178,0.3232395491693937
AUSTRALIA,0.26148409893992935,0.8908771929824562,0.7385159010600706,0.667258015474493,0.35376039311895874
AUSTRIA,0.32155477031802115,0.8491228070175438,0.6784452296819788,0.6469671233442854,0.37952256311023647
BELARUS,0.2826855123674912,0.903859649122807,0.7173144876325088,0.5692802678073275,0.30264656573211934
BELGIUM,0.15547703180212016,0.8449122807017544,0.8445229681978799,0.6933038131252749,0.4331883679089309
BOSNIA AND HERZEGOVINA,0.215547703180212,0.5361403508771929,0.784452296819788,0.4560705651053429,0.3007180611765156
BULGARIA,0.2735099337748344,0.7087719298245614,0.7264900662251656,0.5695839759415205,0.32679263482397826
CANADA,0.127208480565371,0.8066666666666666,0.872791519434629,0.6779146334623366,0.39734704428485856
CHINA,0.0,0.887719298245614,1.0,0.634954051796157,0.3483750332847528
CROATIA,0.3674911660777385,0.7656140350877193,0.6325088339222615,0.5323901626858666,0.4225442118445978
CZECHIA,0.46289752650176674,0.9687719298245614,0.5371024734982333,0.5971962296790269,0.3355051324401151
DENMARK,0.15901060070671377,0.9017543859649123,0.8409893992932862,0.7364701506416217,0.4184082242696318
ESTONIA,0.4028268551236749,0.8480701754385965,0.5971731448763251,0.5706366623271961,0.3826458981444653
FINLAND,0.1413427561837456,0.8059649122807018,0.8586572438162544,0.6783661155243822,0.3573388418759823
FRANCE,0.20141342756183742,0.7859649122807018,0.7985865724381626,0.6399298599856532,0.41027133359177526
GERMANY,0.26148409893992935,0.9649122807017544,0.7385159010600706,0.696380822492037,0.3617452691047443
GREECE,0.15901060070671377,0.5508771929824561,0.8409893992932862,0.5236380704411204,0.35648158664093793
GREENLAND,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666
HUNGARY,0.773851590106007,0.9256140350877193,0.22614840989399299,0.45661922769231683,0.2963025499404888
ICELAND,0.3780918727915194,0.8807017543859649,0.6219081272084805,0.637060436721958,0.3712310817394378
IRELAND,0.20494699646643105,0.8375438596491228,0.795053003533569,0.8356275258228022,0.6737882288507947
ITALY,0.21908127208480563,0.7252631578947368,0.7809187279151943,0.6011082476509294,0.3845045214292685
JAPAN,0.13074204946996465,0.9789473684210527,0.8692579505300353,0.7068620904440134,0.3534310452220067
"KOREA, SOUTH",0.11660777385159009,0.9463157894736842,0.88339222614841,0.7162518782232378,0.41302115605573564
KOSOVO,0.19081272084805653,0.0,0.8091872791519434,0.2735386168601716,0.201659856225382
LATVIA,0.4134275618374559,0.8035087719298246,0.5865724381625441,0.5312969113006308,0.3053341373460073
LIECHTENSTEIN,0.1448763250883392,0.8835087719298246,0.8551236749116609,0.7709727203757332,0.4458886025141406
LITHUANIA,0.38162544169611307,0.7929824561403509,0.6183745583038869,0.5612459889417301,0.3486279829119798
LUXEMBOURG,0.1448763250883392,0.8866666666666667,0.8551236749116609,0.9139301138594425,0.5481357008913688
MALTA,0.22968197879858657,0.9473684210526316,0.7703180212014135,0.680498655354523,0.4942307752392339
MEXICO,0.24381625441696114,0.9164912280701755,0.7561837455830389,0.5842249912177381,0.34499125393806573
MOLDOVA,0.5618374558303887,0.9312280701754386,0.4381625441696113,0.46693972859120714,0.38048203188611984
MONACO,0.1448763250883392,1.0,0.8551236749116609,0.9517078916372202,0.9517078916372202
MONTENEGRO,0.36042402826855124,0.4214035087719299,0.6395759717314488,0.38508839826303093,0.2996381259477306
NETHERLANDS,0.20494699646643105,0.9294736842105263,0.795053003533569,0.7205565149623174,0.4279509618060868
NEW ZEALAND,0.1837455830388693,,0.8162544169611308,,
NORTH MACEDONIA,0.4204946996466431,0.5017543859649123,0.5795053003533569,0.3788325938521215,0.21669961755385342
NORWAY,0.2508833922261484,0.8950877192982456,0.7491166077738516,0.7283855693414928,0.4049540209112679
POLAND,0.5653710247349822,0.9519298245614035,0.43462897526501776,0.5390116634342039,0.34622646994313827
PORTUGAL,0.22261484098939924,0.8368421052631578,0.7773851590106008,0.6110916277737926,0.37215628815518315
ROMANIA,0.49823321554770317,0.8887719298245614,0.5017667844522968,0.5273224285684766,0.3162651548470303
RUSSIA,0.3250883392226148,0.8943859649122807,0.6749116607773852,0.5780198434838568,0.34174895855614895
SERBIA,0.5406360424028268,0.6557894736842105,0.4593639575971732,0.4006066993160167,0.2641469963859867
SINGAPORE,0.2332155477031802,0.9431578947368421,0.7667844522968198,0.8725204648842365,0.5765852999089018
SLOVAKIA,0.469964664310954,0.8336842105263158,0.5300353356890459,0.5218747693733745,0.28645972742246545
SLOVENIA,0.3250883392226149,0.9150877192982456,0.6749116607773851,0.6230156663744165,0.4208008491132312
SPAIN,0.17667844522968199,0.8736842105263158,0.823321554770318,0.6396368424004653,0.4194212385083343
SWEDEN,0.2862190812720848,0.7663157894736842,0.7137809187279152,0.6333655694005331,0.3413393518788761
SWITZERLAND,0.06360424028268552,,0.9363957597173145,,
TAIWAN,0.04240282685512368,0.9392982456140351,0.9575971731448764,0.7500762506974149,0.4062456773850233
TURKEY (TURKIYE),0.3250883392226148,0.6508771929824561,0.6749116607773852,0.4502923976608187,0.2839817084916591
UKRAINE,1.0,0.7585964912280702,0.0,0.2528654970760234,0.14119861698040723
UNITED KINGDOM,0.31802120141342755,0.9122807017543859,0.6819787985865724,0.6441182461453988,0.37064225112746185
UNITED STATES,0.15901060070671377,0.9333333333333333,0.8409893992932862,0.7596948791295081,0.4713435381460452
VIETMAN,0.0,0.8728070175438596,1.0,0.6242690058479532,0.3121345029239766
